customer_name,base,protein,guac,queso,chips_salsa,chips_queso,chips_guacamole,brownie,cookie,16oz,22oz,order_cost,date
djwpyoi,N/A,N/A,0,0,0,0,0,1,0,1,1,6.69,10/1/2022
djwpyoi,N/A,N/A,0,0,1,0,0,0,0,0,0,2.19,10/1/2022
vrnmogo,Bowl,Chicken,1,0,0,0,0,1,1,1,0,15.52,10/1/2022
vrnmogo,Burrito,Beef,0,0,0,0,0,1,1,0,0,12.17,10/1/2022
vrnmogo,N/A,N/A,0,0,0,0,0,1,0,0,0,1.99,10/1/2022
phkoxsv,Bowl,Steak,0,1,0,0,0,0,0,0,0,10.29,10/1/2022
phkoxsv,N/A,N/A,0,0,0,0,0,0,0,1,0,1.99,10/1/2022
phkoxsv,N/A,N/A,0,0,0,0,0,0,0,1,0,1.99,10/1/2022
phkoxsv,N/A,N/A,0,0,0,0,0,0,0,1,0,1.99,10/1/2022
oowhpoi,N/A,N/A,0,0,0,0,0,1,1,1,1,8.68,10/1/2022
oowhpoi,Burrito,Steak,1,1,0,0,0,0,0,0,0,12.29,10/1/2022
sytfloy,Burrito,Chicken,0,1,0,0,0,0,0,1,0,11.54,10/1/2022
dmtocqh,Bowl,Chicken,1,0,0,0,0,1,0,1,0,13.53,10/1/2022
dmtocqh,N/A,N/A,0,0,0,1,0,0,0,0,0,3.69,10/1/2022
fsrfwpe,N/A,N/A,0,0,0,1,0,1,0,0,1,8.13,10/1/2022
fsrfwpe,N/A,N/A,0,0,1,0,0,0,0,0,0,2.19,10/1/2022
fsrfwpe,N/A,N/A,0,0,1,0,0,0,0,0,0,2.19,10/1/2022
fsrfwpe,N/A,N/A,0,0,0,1,0,0,0,0,0,3.69,10/1/2022
soxhevu,Bowl,Beef,0,1,0,0,0,1,1,0,1,16.62,10/1/2022
soxhevu,N/A,N/A,0,0,0,0,0,0,0,0,1,1.99,10/1/2022
chwblke,Burrito,Beef,1,0,0,0,0,0,0,0,0,10.19,10/1/2022
hrexhzu,Burrito,Steak,0,1,0,0,0,0,1,0,0,12.28,10/1/2022
hrexhzu,Burrito,Chicken,0,0,0,1,0,0,0,1,0,12.97,10/1/2022
hrexhzu,N/A,N/A,0,0,0,0,0,0,0,1,0,1.99,10/1/2022
hrexhzu,N/A,N/A,0,0,0,0,0,0,0,1,0,1.99,10/1/2022
divpvdd,Burrito,Steak,0,0,1,0,0,0,0,0,1,12.93,10/1/2022
divpvdd,Bowl,Chicken,0,0,0,0,0,0,0,1,0,9.28,10/1/2022
divpvdd,Burrito,Chicken,1,0,0,0,0,0,0,1,0,11.28,10/1/2022
frhldpz,Bowl,Chicken,0,1,0,0,1,1,0,1,1,19.62,10/1/2022
frhldpz,N/A,N/A,0,0,0,0,0,1,1,0,0,3.98,10/1/2022
fxdiwxm,Burrito,Chicken,0,0,0,0,1,1,0,1,1,17.62,10/1/2022
fxdiwxm,Bowl,Vegetables,1,1,0,0,0,1,0,1,0,15.27,10/1/2022
fxdiwxm,Bowl,Chicken,0,1,0,0,0,1,0,1,0,13.27,10/1/2022
fxdiwxm,Burrito,Chicken,0,1,0,0,0,0,0,1,0,11.28,10/1/2022
fufbnrr,Burrito,Steak,0,1,0,0,0,0,0,0,1,12.74,10/1/2022
fufbnrr,N/A,N/A,0,0,1,0,0,0,0,0,0,2.19,10/1/2022
odiuiob,Bowl,Vegetables,0,1,0,0,0,0,0,1,1,13.99,10/1/2022
